Model,Price,Discount,Link
POCO F3 6/128GB (белый),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-f3-6-128gb-white/
Xiaomi Redmi 9A 2/32GB (синий),7990₽,-500 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9a-2-32gb-blue/
POCO X4 Pro 5G 6/128GB (черный),29990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x4-pro-5g-6-128gb-chernyy/
POCO F3 6/128GB (синий),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-f3-6-128gb-blue/
Xiaomi Redmi 9C NFC 3/64GB (серый),10490₽,-1 500 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-3-64gb-grey/
Xiaomi 11 Lite 5G NE 8/256GB (черный),33990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-256gb-chernyy/
Xiaomi 11 Lite 5G NE 8/256GB (синий),33990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-256gb-siniy/
Xiaomi 11 Lite 5G NE 8/128GB (синий),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-128gb-siniy/
Xiaomi 11 Lite 5G NE 8/128GB (черный),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-128gb-chernyy/
Xiaomi 11 Lite 5G NE 8/128GB (зеленый),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-lite-5g-ne-8-128gb-zelenyy/
POCO M4 Pro 5G 4/64GB (желтый),17990₽,-3 000 ₽,https://mi-shop.com/ru/catalog/smartphones/m4-pro-5g-4-64gb-zheltyy/
POCO M4 Pro 5G 4/64GB (синий),17990₽,-3 000 ₽,https://mi-shop.com/ru/catalog/smartphones/m4-pro-5g-4-64gb-siniy/
POCO M4 Pro 5G 4/64GB (серый),17990₽,-3 000 ₽,https://mi-shop.com/ru/catalog/smartphones/m4-pro-5g-4-64gb-seryy/
POCO M4 Pro 6/128GB (черный),22990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-m4-pro-6-128gb-chernyy/
POCO M4 Pro 8/256GB (синий),25990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-m4-pro-8-256gb-siniy/
POCO M4 Pro 8/256GB (черный),25990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-m4-pro-8-256gb-chernyy/
Xiaomi 11T 8/128GB (серый),39990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11t-8-128gb-seryy/
Xiaomi 11T 8/256GB (белый),43990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-t-8-256-gb-belyy/
Xiaomi 11T 8/256GB (синий),43990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-t-8-256-gb-siniy/
Xiaomi 11T 8/256GB (серый),43990₽,-6 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11t-8-256gb-seryy/
Xiaomi Redmi 9A 2/32GB (зеленый),7990₽,-500 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9a-2-32gb-green/
Xiaomi Redmi 9A 2/32GB (бирюзовый),7990₽,-500 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-9a-2-32gb-biruzovyy/
Xiaomi Redmi Note 11 4/64GB (голубой),18990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-4-64gb-goluboy/
Xiaomi Redmi Note 10S 6/64GB (синий),17990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-64gb-blue/
Xiaomi Redmi 9C NFC 4/128GB (серый),11990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-nfc-4-128gb-seryy/
POCO X4 Pro 5G 8/256GB (черный),32990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-x4-pro-5g-8-256gb-chernyy/
Xiaomi 11T Pro 8/128GB (синий),47990₽,-7 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11t-pro-8-128-gb-siniy/
Xiaomi Redmi Note 10S 6/64GB (белый),17990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-64gb-white/
Xiaomi Redmi Note 10S 6/128GB (синий),19990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-128gb-blue/
Xiaomi Redmi Note 10 Pro 8/128GB (синий),24990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-10-pro-6-128gb-blue/
POCO M3 Pro 4/64GB (черный),17990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-pro-4-64gb-black/
Xiaomi Redmi Note 10S 6/64GB (серый),17990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-64gb-grey/
Xiaomi Redmi Note 11 Pro 5G 8/128GB (серый),33990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-11pro-5g-8-128gb-seryy/
POCO F4 GT 8/128GB (черный),55990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-gt-8-128gb-chernyy/
POCO F4 GT 8/128GB (серебристый),55990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-gt-8-128gb-serebristyy/
POCO F4 GT 8/128GB (желтый),55990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-gt-8-128gb-zheltyy/
